"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
3,4,1,3,1,2,3,3,3,3,3,1,4,1,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1.92857142857143,10,1,8,3,3,3,1,3,2.6,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",57,"Vrouw",5,"other",6,FALSE,0.812010481943426
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,15,1,2,1,1,1,1.2,1,1,1,1,1,1,1,2,"not-religious-not-spiritual",0,NA,"",71,"Man",6,"big cities",9,FALSE,0.36563782360892
2,3,2,2,1,1,3,4,2,2,1,1,1,1,4,1,1,1,2,1,1,1,3,1,2,1,2,2,1.75,0,1,25,4,4,2,2,3,3,1,1,2,1,2,1,1.33333333333333,10,"not-religious-not-spiritual",0,NA,"",48,"Vrouw",8,"other",7,FALSE,0.873441508672236
2,5,4,3,5,5,5,3,5,5,5,3,5,5,4,3,5,3,4,1,1,1,5,3,5,1,2,5,3.67857142857143,85,3,48,5,5,1,3,3,3.4,1,1,1,1,1,1,1,NA,"not-religious-spiritual",0,NA,"",68,"Vrouw",6,"other",NA,FALSE,0.173952835519102
3,1,1,3,4,1,3,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,4,3,1,1,4,1.78571428571429,30,1,20,5,5,4,5,5,4.8,1,1,1,1,1,1,1,0,"religious-spiritual",70,1,"",69,"Man",5,"other",8,FALSE,0.242744441436812
3,3,3,2,4,2,3,2,2,4,2,3,2,1,1,1,3,4,2,2,1,1,4,3,2,3,2,2,2.39285714285714,19,1,29,4,4,4,4,4,4,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",38,"Vrouw",5,"other",7,FALSE,1.0153507791266
3,3,2,1,3,3,2,1,3,3,3,2,3,3,3,1,3,3,3,2,2,1,2,3,3,3,1,1,2.35714285714286,35,2,65,4,3,4,2,3,3.2,1,2,1,3,1,3,1.83333333333333,40,"not-religious-not-spiritual",4,2,"",55,"Man",8,"other",7,FALSE,0.26575683371482
2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,1.64285714285714,4,1,29,2,2,2,1,1,1.6,1,1,1,2,2,2,1.5,6,"not-religious-not-spiritual",0,NA,"",25,"Vrouw",7,"big cities",8,FALSE,0.26550076190197
5,5,4,4,4,2,4,2,2,4,3,2,4,2,4,1,5,4,4,2,1,1,5,1,5,2,5,4,3.25,90,1,70,2,3,2,2,2,2.2,1,1,1,1,1,1,1,50,"not-religious-spiritual",80,8,"Wicca",58,"Vrouw",6,"other",7,FALSE,0.396421123047364
1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.10714285714286,1,1,21,3,1,2,1,1,1.6,1,1,1,1,3,1,1.33333333333333,12,"not-religious-spiritual",0,NA,"",75,"Man",5,"other",2,FALSE,0.309333948854332
3,2,1,2,1,1,3,1,1,2,1,3,1,1,1,1,3,2,1,1,1,1,3,1,1,2,1,2,1.57142857142857,80,3,72,2,4,2,1,2,2.2,1,1,1,1,3,1,1.33333333333333,84,"not-religious-spiritual",0,NA,"",60,"Man",3,"other",8,FALSE,1.63376158780992
5,3,2,3,3,4,4,3,3,5,3,2,5,3,4,2,3,3,3,3,3,3,3,3,3,2,3,2,3.14285714285714,54,3,23,3,4,4,2,4,3.4,1,1,1,1,1,1,1,33,"not-religious-spiritual",11,1,"",50,"Man",5,"other",7,FALSE,0.427886062577623
2,4,4,4,5,4,4,3,4,3,4,4,3,4,4,3,4,1,2,2,2,1,4,2,4,4,2,4,3.25,0,3,55,4,3,4,1,1,2.6,1,1,1,1,1,1,1,50,"not-religious-not-spiritual",0,NA,"",49,"Man",3,"other",5,FALSE,0.424343419388824
2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,1,2,2,2,2,1,1,2,1,2,2,2,2,2,20,3,40,3,2,3,3,3,2.8,1,1,1,1,1,2,1.16666666666667,0,"religious-not-spiritual",50,2,"",64,"Vrouw",7,"other",7,FALSE,0.494993396650432
1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07142857142857,0,1,25,3,3,2,1,3,2.4,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",0,NA,"",58,"Man",6,"other",8,FALSE,0.96108819038889
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.10714285714286,0,1,25,4,5,4,3,5,4.2,1,1,1,1,1,1,1,0,"not-religious-not-spiritual",10,1,"",22,"Man",6,"other",8,FALSE,2.19598703889541
1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14285714285714,0,1,19,3,2,1,1,1,1.6,1,1,1,1,1,1,1,0,"religious-not-spiritual",51,1,"",67,"Man",3,"other",8,FALSE,0.852650607368703
4,5,4,5,5,3,5,4,4,4,3,2,5,4,1,3,4,4,3,1,1,2,5,2,4,4,5,4,3.57142857142857,96,5,35,4,5,4,2,3,3.6,2,1,1,1,1,2,1.33333333333333,10,"religious-spiritual",40,1,"",58,"Vrouw",7,"other",5,FALSE,0.493733920218298
